TubeNumber,BirdID,SampleDate,Qubit,Island.x,SumVeg_X_Inverts,TQ,TQcorrected,BirthDate,BirthYear,Lifespan,ReproductiveOutput,SexEstimate,CatchTime,season,Sequenced,survive,SamplingAge,Timeinfridge,SampleLeft,SampleType,TerminalYear,LatestEligibleDate,nage,FPID,pop_died,Froh_imp,SequencingRun,mean_TQ_FPID,meancentredTQ,Type,deathdate,SampleYear,YFD,TubeNo,AgeGroup
SW27,6261,2017-07-22,0.0632,CN,27.93,25475.7,25475.7,2014-07-28,2014,7.6,2,1,190,major,1,1,3,60,N,F,0,2022-03-18,0.39473684210526316,major_2017,0.09003215434083602,0.103362908,1,57447.427596153844,-31971.727596153843,F,2022-03-18,2017,4.7,SW27,B
SW39,6554,2017-07-31,0.0342,CN,19.56,43152.92,43152.92,2015-09-26,2015,NA,2,0,638,major,1,1,1.8,51,Y,F,0,NA,NA,major_2017,0.09003215434083602,0.100920607,1,57447.427596153844,-14294.507596153846,F,NA,2017,NA,SW39,A
SW57,6738,2017-08-17,0.102,CN,27.83,78304.71,78304.71,2017-06-23,2017,NA,NA,0,630,major,1,1,0.2,34,N,F,0,NA,NA,major_2017,0.09003215434083602,NA,1,57447.427596153844,20857.282403846162,F,NA,2017,NA,SW57,A
SW65,6676,2017-08-22,0.078,CN,24.05,39351.16,39351.16,2016-07-14,2016,6.7,NA,1,649,major,1,1,1.1,29,N,F,0,2023-03-27,0.16417910447761194,major_2017,0.09003215434083602,0.132793312,1,57447.427596153844,-18096.26759615384,F,2023-03-27,2017,5.6,SW65,A
SW72,6765,2017-08-29,0.0888,CN,13.9,25958.57,25958.57,2017-07-05,2017,NA,NA,0,305,major,1,1,0.2,22,N,F,0,NA,NA,major_2017,0.09003215434083602,0.167459311,1,57447.427596153844,-31488.857596153844,F,NA,2017,NA,SW72,A
SW84,5595,2017-08-23,0.144,CN,21.96,38928.6,38928.6,2011-03-01,2011,8,2,1,201,major,1,1,6.5,28,N,F,0,2019-03-09,0.8125,major_2017,0.09003215434083602,0.067964585,1,57447.427596153844,-18518.827596153846,F,2019-03-09,2017,1.5,SW84,D
SW94,6211,2017-09-02,0.476,CN,32.79,68848.73,68848.73,2014-05-11,2014,NA,3,0,225,major,1,1,3.3,18,N,F,0,NA,NA,major_2017,0.09003215434083602,0.06580473,1,57447.427596153844,11401.302403846152,F,NA,2017,NA,SW94,B
SW98,5624,2017-09-07,0.0512,CN,26.08,64756.95,64756.95,2011-04-21,2011,10.5,3,1,276,major,1,1,6.4,13,N,F,0,2021-09-30,0.6095238095238096,major_2017,0.09003215434083602,0.158424175,1,57447.427596153844,7309.522403846153,F,2021-09-30,2017,4.1,SW98,D
SW109,6061,2017-09-10,0.0936,CN,18.33,41968.89,41968.89,2013-01-30,2013,5.7,5,0,120,major,1,1,4.6,10,N,F,0,2018-09-30,0.8070175438596491,major_2017,0.09003215434083602,0.161657359,1,57447.427596153844,-15478.537596153845,F,2018-09-30,2017,1.1,SW109,C
SW134,5545,2017-09-13,0.656,CN,10.69,32073.94,32073.94,2010-08-03,2010,12.1,5,0,375,major,1,1,7.1,7,Y,F,0,2022-09-14,0.5867768595041322,major_2017,0.09003215434083602,0.122399102,1,57447.427596153844,-25373.487596153846,F,2022-09-14,2017,5,SW134,D
SW136,6381,2018-02-22,0.141,CN,11.95,25429.07,25429.07,2015-08-25,2015,8.1,NA,1,270,minor,1,1,2.5,20,N,F,0,2023-10-09,0.308641975308642,minor_2018,0.05825242718446602,0.216520676,1,41565.9888425926,-16136.918842592597,F,2023-10-09,2018,5.6,SW136,B
SW146,6191,2018-02-24,0.106,CN,17.81,34091.35,34091.35,2014-07-23,2014,NA,2,0,317,minor,1,1,3.6,18,N,F,0,NA,NA,minor_2018,0.05825242718446602,0.152350041,1,41565.9888425926,-7474.638842592598,F,NA,2018,NA,SW146,B
SW149,6009,2018-02-28,0.0588,CN,8.24,15375.92,15375.92,2013-02-26,2013,NA,3,0,184,minor,1,1,5,14,Y,F,0,NA,NA,minor_2018,0.05825242718446602,0.106397225,1,41565.9888425926,-26190.0688425926,F,NA,2018,NA,SW149,C
SW167,5635,2018-03-08,0.0732,CN,18.48,59331.8,59331.8,2010-12-16,2010,9.3,7,0,367,minor,1,1,7.2,6,S,F,0,2020-03-16,0.7741935483870968,minor_2018,0.05825242718446602,0.18023167,1,41565.9888425926,17765.811157407406,F,2020-03-16,2018,2,SW167,D
SW169,6737,2018-03-03,0.0632,CN,16.47,40708.94,40708.94,2016-08-16,2016,5.1,1,0,673,minor,1,1,1.5,11,Y,F,0,2021-09-30,0.29411764705882354,minor_2018,0.05825242718446602,0.135036745,1,41565.9888425926,-857.0488425925942,F,2021-09-30,2018,3.6,SW169,A
SW193,5657,2018-07-07,0.145,CN,3.51,8842,8842,2011-08-23,2011,10.1,7,0,458,major,1,1,6.9,77,Y,F,0,2021-09-30,0.6831683168316832,major_2018,0.10497237569060773,0.100611769,1,10992.481296296297,-2150.481296296297,F,2021-09-30,2018,3.2,SW193,D
SW197,1762,2018-07-07,0.101,CN,3.51,8842,8842,2002-10-10,2002,17.4,11,1,294,major,1,1,15.7,77,S,F,0,2020-03-16,0.9022988505747127,major_2018,0.10497237569060773,0.120737605,1,10992.481296296297,-2150.481296296297,F,2020-03-16,2018,1.7,SW197,G
SW223,6022,2018-07-25,0.169,CN,18.16,30405.1,30405.1,2012-07-24,2012,7.2,5,0,360,major,1,1,6,59,Y,F,0,2019-09-23,0.8333333333333333,major_2018,0.10497237569060773,0.090300222,1,10992.481296296297,19412.6187037037,F,2019-09-23,2018,1.2,SW223,C
SW225,6881,2018-07-30,0.159,CN,12.2,18965.57,18965.57,2018-03-15,2018,NA,NA,0,675,major,1,1,0.4,54,Y,F,0,NA,NA,major_2018,0.10497237569060773,0.15095706,1,10992.481296296297,7973.088703703703,F,NA,2018,NA,SW225,A
SW232,6754,2018-08-02,0.154,CN,5.92,15549.87,15549.87,2017-06-27,2017,5.2,NA,0,320,major,1,1,1.1,51,Y,F,0,2022-09-14,0.21153846153846154,major_2018,0.10497237569060773,0.092488486,1,10992.481296296297,4557.388703703704,F,2022-09-14,2018,4.1,SW232,A
SW233,5543,2018-08-04,0.134,CN,6.02,17438.84,17438.84,2010-08-05,2010,NA,6,0,165,major,1,1,8,49,S,F,0,NA,NA,major_2018,0.10497237569060773,0.105434968,1,10992.481296296297,6446.358703703703,F,NA,2018,NA,SW233,D
SW245,5559,2018-08-16,0.428,CN,3.69,5356.77,5356.77,2010-01-05,2010,9.2,8,1,610,major,1,1,8.6,37,S,F,1,2019-03-09,0.9347826086956522,major_2018,0.10497237569060773,0.098240034,1,10992.481296296297,-5635.7112962962965,F,2019-03-09,2018,0.6,SW245,E
SW254,5630,2018-08-22,0.361,CN,2.32,6386.19,6386.19,2011-04-01,2011,10.5,8,0,156,major,1,1,7.4,31,Y,f,0,2021-09-30,0.7047619047619048,major_2018,0.10497237569060773,0.107087301,1,10992.481296296297,-4606.291296296297,F,2021-09-30,2018,3.1,SW254,D
SW259,6698,2018-08-22,0.0644,CN,2.32,6386.19,6386.19,2016-10-02,2016,NA,NA,1,211,major,1,1,1.9,31,Y,F,0,NA,NA,major_2018,0.10497237569060773,0.132148141,1,10992.481296296297,-4606.291296296297,F,NA,2018,NA,SW259,A
SW271,6032,2018-08-27,0.0524,CN,2.31,7201.9,7201.9,2012-12-15,2012,5.8,1,1,348,major,1,0,5.7,26,Y,F,1,2018-09-30,0.9827586206896552,major_2018,0.10497237569060773,0.12118116,1,10992.481296296297,-3790.5812962962973,F,2018-09-30,2018,0.1,SW271,C
SW277,1826,2018-08-30,1.43,CN,3.3,7624.43,7624.43,2003-08-09,2003,16.6,12,0,210,major,1,1,15.1,23,Y,F,0,2020-03-16,0.9096385542168673,major_2018,0.10497237569060773,0.12334578,1,10992.481296296297,-3368.0512962962966,F,2020-03-16,2018,1.5,SW277,G
SW281,6912,2018-09-04,0.0832,CN,4.53,15353.45,15353.45,2018-07-04,2018,NA,NA,1,144,major,1,1,0.2,18,Y,F,0,NA,NA,major_2018,0.10497237569060773,0.0475388,1,10992.481296296297,4360.968703703704,F,NA,2018,NA,SW281,A
SW285,6036,2018-08-31,0.0588,CN,5.28,9718.46,9718.46,2012-12-27,2012,8.8,7,0,330,major,1,1,5.7,22,Y,F,0,2021-09-30,0.6477272727272727,major_2018,0.10497237569060773,0.106464125,1,10992.481296296297,-1274.0212962962978,F,2021-09-30,2018,3.1,SW285,C
SW298,6158,2018-09-04,0.0936,CN,4.53,15353.45,15353.45,2014-03-02,2014,9.6,1,1,362,major,1,1,4.5,18,N,F,0,2023-10-09,0.46875,major_2018,0.10497237569060773,0.129053339,1,10992.481296296297,4360.968703703704,F,2023-10-09,2018,5.1,SW298,C
SW302,5644,2018-09-04,0.0712,CN,5.67,19708.4,19708.4,2011-05-02,2011,11.4,2,0,304,major,1,1,7.3,18,Y,F,0,2022-09-14,0.6403508771929824,major_2018,0.10497237569060773,0.141613085,1,10992.481296296297,8715.918703703705,F,2022-09-14,2018,4,SW302,D
SW351,3089,2018-09-17,0.106,CN,0.8,2099.71,2099.71,2004-11-04,2004,15.4,10,1,585,major,1,1,13.9,5,Y,F,0,2020-03-16,0.9025974025974026,major_2018,0.10497237569060773,0.099934523,1,10992.481296296297,-8892.771296296298,F,2020-03-16,2018,1.5,SW351,G
SW356,6181,2018-09-18,0.592,CN,3.85,12566.71,12566.71,2013-07-18,2013,5.2,1,0,315,major,1,0,5.2,4,Y,F,1,2018-09-30,1,major_2018,0.10497237569060773,0.085142065,1,10992.481296296297,1574.2287037037022,F,2018-09-30,2018,0,SW356,C
SW357,6914,2018-09-17,0.156,CN,0.8,2099.71,2099.71,2018-06-15,2018,NA,NA,1,564,major,1,1,0.3,5,Y,F,0,NA,NA,major_2018,0.10497237569060773,0.134451143,1,10992.481296296297,-8892.771296296298,F,NA,2018,NA,SW357,A
SW372,6009,2019-01-29,0.098,CN,1.11,2071.49,2071.49,2013-02-26,2013,NA,3,0,191,minor,1,1,5.9,39,Y,F,0,NA,NA,minor_2019,0.18926553672316385,0.106397225,1,9925.820545454546,-7854.330545454546,F,NA,2019,NA,SW372,C
SW386,7068,2019-01-31,0.0948,CN,3.85,7213.19,7213.19,2018-09-16,2018,3,NA,1,250,minor,1,1,0.4,37,N,F,0,2021-09-30,0.13333333333333333,minor_2019,0.18926553672316385,0.126927209,1,9925.820545454546,-2712.6305454545463,F,2021-09-30,2019,2.7,SW386,A
SW413,5850,2019-02-09,0.611,CN,1.74,7213.32,7213.32,2012-01-28,2012,NA,NA,1,290,minor,1,1,7,28,Y,F,0,NA,NA,minor_2019,0.18926553672316385,0.115330636,1,9925.820545454546,-2712.5005454545462,F,NA,2019,NA,SW413,D
SW418,5545,2019-02-15,0.0508,CN,1.88,4812.16,4812.16,2010-08-03,2010,12.1,5,0,360,minor,1,1,8.5,22,N,F,0,2022-09-14,0.7024793388429752,minor_2019,0.18926553672316385,0.122399102,1,9925.820545454546,-5113.660545454546,F,2022-09-14,2019,3.6,SW418,E
SW423,5779,2019-02-12,0.11,CN,4.2,9267.42,9267.42,2011-02-08,2011,NA,4,1,730,minor,1,1,8,25,N,F,0,NA,NA,minor_2019,0.18926553672316385,0.134887366,1,9925.820545454546,-658.4005454545459,F,NA,2019,NA,SW423,D
SW424,5009,2019-02-14,0.143,CN,1.74,7213.32,7213.32,2006-10-24,2006,15.4,1,0,95,minor,1,1,12.3,23,S,F,0,2022-03-18,0.7987012987012987,minor_2019,0.18926553672316385,0.093364598,1,9925.820545454546,-2712.5005454545462,F,2022-03-18,2019,3.1,SW424,G
SW557,6144,2019-07-14,0.0536,CN,5.38,7952.59,7952.59,2014-02-21,2014,NA,4,1,275,major,1,1,5.4,71,N,F,0,NA,NA,major_2019,0.11333333333333333,0.058430542,1,25071.265887850466,-17118.675887850466,F,NA,2019,NA,SW557,C
SW577,6838,2019-08-12,0.153,CN,10.66,24415.29,24415.29,2017-10-05,2017,NA,NA,0,371,major,1,1,1.9,42,Y,F,0,NA,NA,major_2019,0.11333333333333333,0.164946445,1,25071.265887850466,-655.9758878504654,F,NA,2019,NA,SW577,A
SW584,6919,2020-02-11,0.145,CN,NA,NA,39092.775,2018-07-17,2018,NA,NA,0,350,minor,1,1,1.6,34,Y,F,0,NA,NA,minor_2020,NA,0.139014075,1,34142.66416666667,4950.110833333332,F,NA,2020,NA,SW584,A
SW601,6185,2020-02-13,0.095,CN,NA,NA,65189.96,2014-03-25,2014,NA,2,0,130,minor,1,1,5.9,32,Y,F,0,NA,NA,minor_2020,NA,0.094763995,1,34142.66416666667,31047.29583333333,F,NA,2020,NA,SW601,C
SW608,3456,2020-02-17,0.148,CN,NA,NA,37302.94,2004-06-13,2004,17.8,17,1,373,minor,1,1,15.7,28,Y,F,0,2022-03-18,0.8820224719101123,minor_2020,NA,0.13416155,1,34142.66416666667,3160.275833333333,F,2022-03-18,2020,2.1,SW608,G
SW613,5635,2020-02-18,0.0316,CN,NA,NA,34999.225,2010-12-16,2010,9.3,7,0,360,minor,1,0,9.2,27,N,F,1,2020-03-16,0.9892473118279569,minor_2020,NA,0.18023167,1,34142.66416666667,856.5608333333294,F,2020-03-16,2020,0.1,SW613,E
SW636,5853,2020-02-27,0.123,CN,NA,NA,17115.735,2012-07-29,2012,NA,2,1,360,minor,1,1,7.6,18,Y,F,0,NA,NA,minor_2020,NA,0.143026228,1,34142.66416666667,-17026.92916666667,F,NA,2020,NA,SW636,D
SW645,7144,2020-03-02,0.188,CN,NA,NA,36399.345,2019-06-02,2019,4.4,NA,1,235,minor,1,1,0.8,14,N,F,0,2023-10-09,0.18181818181818182,minor_2020,NA,0.042463214,1,34142.66416666667,2256.680833333332,F,2023-10-09,2020,3.6,SW645,A
SW666,6036,2020-03-10,0.196,CN,NA,NA,39092.775,2012-12-27,2012,8.8,7,0,610,minor,1,1,7.2,6,Y,F,0,2021-09-30,0.8181818181818181,minor_2020,NA,0.106464125,1,34142.66416666667,4950.110833333332,F,2021-09-30,2020,1.6,SW666,D
SW687,7068,2021-04-30,0.0984,CN,4.59,4372.59,4372.59,2018-09-16,2018,3,NA,1,173,minor,1,1,2.6,46,N,F,1,2021-09-30,0.8666666666666667,minor_2021,NA,0.126927209,1,41771.6270754717,-37399.0370754717,F,2021-09-30,2021,0.4,SW687,B
SW704,6554,2021-05-14,0.0432,CN,17.48,75662.93,75662.93,2015-09-26,2015,NA,2,0,232,minor,1,1,5.6,32,N,F,0,NA,NA,minor_2021,NA,0.100920607,1,41771.6270754717,33891.302924528296,F,NA,2021,NA,SW704,C
SW705,5779,2021-05-14,0.0308,CN,17.48,75662.93,75662.93,2011-02-08,2011,NA,4,1,360,minor,1,1,10.3,32,N,F,0,NA,NA,minor_2021,NA,0.134887366,1,41771.6270754717,33891.302924528296,F,NA,2021,NA,SW705,F
SW743,3456,2021-06-29,0.0496,CN,5.62,12390.23,12390.23,2004-06-13,2004,17.8,17,1,307,major,1,1,17,93,Y,F,1,2022-03-18,0.9550561797752809,major_2021,0.23026315789473684,0.13416155,1,25930.977281553398,-13540.747281553398,F,2022-03-18,2021,0.7,SW743,G
SW745,5624,2021-07-01,0.0456,CN,6.63,12963.11,12963.11,2011-04-21,2011,10.5,3,1,198,major,1,0,10.2,91,N,F,1,2021-09-30,0.9714285714285713,major_2021,0.23026315789473684,0.158424175,1,25930.977281553398,-12967.867281553397,F,2021-09-30,2021,0.2,SW745,F
SW754,5626,2021-07-06,0.0704,CN,14.5,15967.31,15967.31,2010-11-22,2010,11.3,10,1,480,major,1,1,10.6,86,Y,F,1,2022-03-18,0.9380530973451326,major_2021,0.23026315789473684,0.081332169,1,25930.977281553398,-9963.667281553398,F,2022-03-18,2021,0.7,SW754,F
SW765,5545,2021-07-15,0.0556,CN,0.72,1895.45,1895.45,2010-08-03,2010,12.1,5,0,298,major,1,1,10.9,77,N,F,0,2022-09-14,0.9008264462809918,major_2021,0.23026315789473684,0.122399102,1,25930.977281553398,-24035.527281553397,F,2022-09-14,2021,1.2,SW765,F
SW807,6191,2021-08-03,0.0652,CN,9.17,14751.56,14751.56,2014-07-23,2014,NA,2,0,599,major,1,1,7,58,Y,F,0,NA,NA,major_2021,0.23026315789473684,0.152350041,1,25930.977281553398,-11179.417281553398,F,NA,2021,NA,SW807,D
SW815,6375,2021-08-05,0.156,CN,8.02,18448.82,18448.82,2014-12-23,2014,NA,2,1,730,major,1,1,6.6,56,Y,F,0,NA,NA,major_2021,0.23026315789473684,0.12137636,1,25930.977281553398,-7482.157281553398,F,NA,2021,NA,SW815,D
SW826,6574,2021-08-08,0.042,CN,13.74,28504.24,28504.24,2015-10-19,2015,NA,1,1,307,major,1,1,5.8,53,Y,F,0,NA,NA,major_2021,0.23026315789473684,0.119513247,1,25930.977281553398,2573.2627184466037,F,NA,2021,NA,SW826,C
SW835,6671,2021-08-11,0.123,CN,9.29,25566.76,25566.76,2016-05-03,2016,6.4,NA,1,605,major,1,1,5.3,50,Y,F,0,2022-09-14,0.8281249999999999,major_2021,0.23026315789473684,0.083305712,1,25930.977281553398,-364.2172815533995,F,2022-09-14,2021,1.1,SW835,C
SW867,6737,2021-08-28,0.0432,CN,18.47,45850.68,45850.68,2016-08-16,2016,5.1,1,0,570,major,1,0,5,33,Y,F,1,2021-09-30,0.9803921568627452,major_2021,0.23026315789473684,0.135036745,1,25930.977281553398,19919.702718446602,F,2021-09-30,2021,0.1,SW867,C
SW886,6036,2021-09-12,0.0492,CN,21.89,77039.61,77039.61,2012-12-27,2012,8.8,7,0,529,major,1,0,8.7,18,N,F,1,2021-09-30,0.9886363636363634,major_2021,0.23026315789473684,0.106464125,1,25930.977281553398,51108.632718446606,F,2021-09-30,2021,0,SW886,E
SW896,5543,2021-09-05,0.13,CN,9.72,38750.35,38750.35,2010-08-05,2010,NA,6,0,606,major,1,1,11.1,25,Y,F,0,NA,NA,major_2021,0.23026315789473684,0.105434968,1,25930.977281553398,12819.3727184466,F,NA,2021,NA,SW896,F
SW984,NA,2021-09-10,0.52,CN,NA,NA,NA,NA,NA,NA,10224,NA,360,major,1,NA,NA,20,NA,C,0,NA,NA,major_2021,0.23026315789473684,NA,1,NA,NA,C,NA,2021,NA,SW984,NA
SW994,6009,2022-01-26,0.0368,CN,13.37,24782.11,24782.11,2013-02-26,2013,NA,3,0,133,minor,1,1,8.9,51,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.106397225,1,35016.47289719626,-10234.36289719626,F,NA,2022,NA,SW994,E
SW1007,5009,2022-02-02,0.0356,CN,20.86,86911.71,86911.71,2006-10-24,2006,15.4,1,0,154,minor,1,0,15.3,44,N,F,1,2022-03-18,0.9935064935064936,minor_2022,0.13533834586466165,0.093364598,1,35016.47289719626,51895.237102803745,F,2022-03-18,2022,0.1,SW1007,G
SW1016,6676,2022-02-04,0.0912,CN,13.9,25694.94,25694.94,2016-07-14,2016,6.7,NA,1,554,minor,1,1,5.6,42,Y,F,0,2023-03-27,0.835820895522388,minor_2022,0.13533834586466165,0.132793312,1,35016.47289719626,-9321.532897196263,F,2023-03-27,2022,1.1,SW1016,C
SW1033,6381,2022-02-15,0.0122,CN,1.91,3139.3,3139.3,2015-08-25,2015,8.1,NA,1,143,minor,1,1,6.5,31,N,F,0,2023-10-09,0.8024691358024691,minor_2022,0.13533834586466165,0.216520676,1,35016.47289719626,-31877.172897196262,F,2023-10-09,2022,1.6,SW1033,D
SW1060,6158,2022-03-04,0.0116,CN,44.39,86152.69,86152.69,2014-03-02,2014,9.6,1,1,229,minor,1,1,8,14,Y,F,0,2023-10-09,0.8333333333333334,minor_2022,0.13533834586466165,0.129053339,1,35016.47289719626,51136.21710280374,F,2023-10-09,2022,1.6,SW1060,D
SW1079,6261,2022-03-12,0.116,CN,31.57,28981.26,28981.26,2014-07-28,2014,7.6,2,1,157,minor,1,0,7.6,6,Y,F,1,2022-03-18,1,minor_2022,0.13533834586466165,0.103362908,1,35016.47289719626,-6035.212897196263,F,2022-03-18,2022,0,SW1079,D
SW1082,6144,2022-03-14,0.0364,CN,6.86,24440.63,24440.63,2014-02-21,2014,NA,4,1,510,minor,1,1,8.1,4,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.058430542,1,35016.47289719626,-10575.84289719626,F,NA,2022,NA,SW1082,E
SW1158,6912,2022-07-01,0.0828,CN,11.37,28672.71,28672.71,2018-07-04,2018,NA,NA,1,332,major,1,1,4,75,N,F,0,NA,NA,major_2022,0.1821705426356589,0.0475388,1,20906.611336633665,7766.098663366334,F,NA,2022,NA,SW1158,B
SW1170,6211,2022-07-09,0.12,CN,13.91,30056.56,30056.56,2014-05-11,2014,NA,3,0,174,major,1,1,8.2,67,Y,F,0,NA,NA,major_2022,0.1821705426356589,0.06580473,1,20906.611336633665,9149.948663366336,F,NA,2022,NA,SW1170,E
SW1193,5644,2022-07-20,0.0312,CN,5.98,19816.52,19816.52,2011-05-02,2011,11.4,2,0,160,major,1,0,11.2,56,Y,F,1,2022-09-14,0.9824561403508771,major_2022,0.1821705426356589,0.141613085,1,20906.611336633665,-1090.0913366336645,F,2022-09-14,2022,0.2,SW1193,F
SW1196,6754,2022-07-25,0.293,CN,2.73,4209.97,4209.97,2017-06-27,2017,5.2,NA,0,209,major,1,0,5.1,51,N,F,1,2022-09-14,0.9807692307692306,major_2022,0.1821705426356589,0.092488486,1,20906.611336633665,-16696.641336633664,F,2022-09-14,2022,0.1,SW1196,C
SW1198,5850,2022-07-25,0.183,CN,2.56,10678.55,10678.55,2012-01-28,2012,NA,NA,1,324,major,1,1,10.5,51,N,F,0,NA,NA,major_2022,0.1821705426356589,0.115330636,1,20906.611336633665,-10228.061336633666,F,NA,2022,NA,SW1198,F
SW1200,6914,2022-07-26,0.0616,CN,5.32,27727.58,27727.58,2018-06-15,2018,NA,NA,1,599,major,1,1,4.1,50,N,F,0,NA,NA,major_2022,0.1821705426356589,0.134451143,1,20906.611336633665,6820.968663366337,F,NA,2022,NA,SW1200,C
SW1206,6738,2022-08-01,0.0592,CN,2.18,6866.21,6866.21,2017-06-23,2017,NA,NA,0,304,major,1,1,5.1,44,N,F,0,NA,NA,major_2022,0.1821705426356589,NA,1,20906.611336633665,-14040.401336633666,F,NA,2022,NA,SW1206,C
SW1217,6919,2022-08-06,0.222,CN,8.08,16991.16,16991.16,2018-07-17,2018,NA,NA,0,530,major,1,1,4.1,39,N,F,0,NA,NA,major_2022,0.1821705426356589,0.139014075,1,20906.611336633665,-3915.451336633665,F,NA,2022,NA,SW1217,C
SW1250,6838,2022-08-23,0.191,CN,3.97,7964.73,7964.73,2017-10-05,2017,NA,NA,0,228,major,1,1,4.9,22,Y,F,0,NA,NA,major_2022,0.1821705426356589,0.164946445,1,20906.611336633665,-12941.881336633665,F,NA,2022,NA,SW1250,C
SW1251,6881,2022-08-23,0.17,CN,0.74,1222.67,1222.67,2018-03-15,2018,NA,NA,0,302,major,1,1,4.4,22,N,F,0,NA,NA,major_2022,0.1821705426356589,0.15095706,1,20906.611336633665,-19683.941336633667,F,NA,2022,NA,SW1251,C
SW1253,6191,2022-08-25,0.084,CN,7.74,12442.6,12442.6,2014-07-23,2014,NA,2,0,169,major,1,1,8.1,20,Y,F,0,NA,NA,major_2022,0.1821705426356589,0.152350041,1,20906.611336633665,-8464.011336633665,F,NA,2022,NA,SW1253,E
SW1261,6765,2022-09-01,0.141,CN,68.77,186021.23,186021.23,2017-07-05,2017,NA,NA,0,436,major,1,1,5.2,13,Y,F,0,NA,NA,major_2022,0.1821705426356589,0.167459311,1,20906.611336633665,165114.61866336636,F,NA,2022,NA,SW1261,C
