TubeNumber,BirdID,SampleDate,Qubit,Island.x,SumVeg_X_Inverts,TQ,TQcorrected,BirthDate,BirthYear,Lifespan,ReproductiveOutput,SexEstimate,CatchTime,season,Sequenced,survive,SamplingAge,Timeinfridge,SampleLeft,SampleType,TerminalYear,LatestEligibleDate,nage,FPID,pop_died,Froh_imp,SequencingRun,mean_TQ_FPID,meancentredTQ,Type,deathdate,SampleYear,YFD,TubeNo,AgeGroup
SW1263,5590,2022-09-07,0.165,CN,3.17,6797.8,6797.8,2011-02-28,2011,12.6,6,1,154,major,1,1,11.5,7,Y,F,0,2023-10-09,0.9126984126984127,major_2022,0.1821705426356589,0.154298383,1,20906.611336633665,-14108.811336633666,F,2023-10-09,2022,1.1,SW1263,F
SWControl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,minor,1,NA,NA,NA,NA,NA,0,NA,NA,minor_NA,NA,NA,1,NA,NA,C,NA,NA,NA,SWControl,NA
SW29,5901,2017-07-22,0.162,CN,23.22,45367.55,45367.55,2012-06-05,2012,10.8,7,0,182,major,1,1,5.1,60,Y,F,0,2023-03-27,0.47222222222222215,major_2017,0.09003215434083602,0.159303953,2,57447.427596153844,-12079.877596153841,F,2023-03-27,2017,5.7,SW29,C
SW55,6707,2017-08-10,0.184,CN,29.05,72942.35,72942.35,2016-10-09,2016,7,NA,0,610,major,1,1,0.8,41,N,F,0,2023-10-09,0.1142857142857143,major_2017,0.09003215434083602,0.158242721,2,57447.427596153844,15494.922403846162,F,2023-10-09,2017,6.2,SW55,A
SW80,6249,2017-08-28,0.208,CN,13.9,25958.57,25958.57,2014-07-29,2014,NA,1,1,573,major,1,1,3.1,23,Y,F,0,NA,NA,major_2017,0.09003215434083602,0.088747505,2,57447.427596153844,-31488.857596153844,F,NA,2017,NA,SW80,B
SW166,6378,2018-03-07,0.349,CN,13.35,24345.84,24345.84,2015-08-04,2015,NA,2,0,295,minor,1,1,2.6,7,Y,F,0,NA,NA,minor_2018,0.05825242718446602,0.102940431,2,41565.9888425926,-17220.148842592596,F,NA,2018,NA,SW166,B
SW220,6875,2018-07-25,0.164,CN,8.01,25238.2,25238.2,2017-10-24,2017,NA,NA,0,162,major,1,1,0.8,59,Y,F,0,NA,NA,major_2018,0.10497237569060773,0.137304006,2,10992.481296296297,14245.718703703704,F,NA,2018,NA,SW220,A
SW294,6925,2018-09-03,0.115,CN,4.86,12291.88,12291.88,2017-12-03,2017,NA,NA,0,325,major,1,1,0.8,19,Y,F,0,NA,NA,major_2018,0.10497237569060773,0.088934825,2,10992.481296296297,1299.3987037037023,F,NA,2018,NA,SW294,A
SW334,6909,2018-09-12,0.177,CN,5.46,13252.4,13252.4,2017-12-12,2017,5.8,1,0,250,major,1,1,0.8,10,Y,F,0,2023-10-09,0.13793103448275862,major_2018,0.10497237569060773,0.080471819,2,10992.481296296297,2259.9187037037027,F,2023-10-09,2018,5.1,SW334,A
SW369,6745,2019-01-28,0.267,CN,2.83,4186.27,4186.27,2017-06-19,2017,NA,NA,1,360,minor,1,1,1.6,40,Y,F,0,NA,NA,minor_2019,0.18926553672316385,0.171080147,2,9925.820545454546,-5739.5505454545455,F,NA,2019,NA,SW369,A
SW370,6249,2019-01-28,0.192,CN,1.11,2071.49,2071.49,2014-07-29,2014,NA,1,1,192,minor,1,1,4.5,40,Y,F,0,NA,NA,minor_2019,0.18926553672316385,0.088747505,2,9925.820545454546,-7854.330545454546,F,NA,2019,NA,SW370,C
SW370B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,minor,1,NA,NA,NA,NA,NA,0,NA,NA,minor_NA,NA,NA,2,NA,NA,C,NA,NA,NA,SW370B,NA
SW373,6870,2019-01-30,0.164,CN,1.29,3359.68,3359.68,2018-02-15,2018,5.6,NA,1,295,minor,1,1,1,38,Y,F,0,2023-10-09,0.17857142857142858,minor_2019,0.18926553672316385,0.152254732,2,9925.820545454546,-6566.140545454546,F,2023-10-09,2019,4.7,SW373,A
SW417,6921,2019-02-09,0.121,CN,2.42,6841.65,6841.65,2018-07-11,2018,NA,NA,1,200,minor,1,1,0.6,28,Y,F,0,NA,NA,minor_2019,0.18926553672316385,0.146927494,2,9925.820545454546,-3084.1705454545463,F,NA,2019,NA,SW417,A
SW555,6892,2019-08-04,0.131,CN,10.26,28130.03,28130.03,2018-04-09,2018,NA,1,1,259,major,1,1,1.3,50,N,F,0,NA,NA,major_2019,0.11333333333333333,0.106981911,2,25071.265887850466,3058.7641121495326,F,NA,2019,NA,SW555,A
SW628,6572,2020-02-24,0.113,CN,NA,NA,41211.525,2015-10-14,2015,NA,1,1,625,minor,1,1,4.4,21,N,F,0,NA,NA,minor_2020,NA,0.1259063,2,34142.66416666667,7068.860833333332,F,NA,2020,NA,SW628,C
SW657,7071,2020-03-06,0.67,CN,NA,NA,30477.86,2018-09-15,2018,NA,NA,1,525,minor,1,1,1.5,10,Y,F,0,NA,NA,minor_2020,NA,0.105773132,2,34142.66416666667,-3664.8041666666686,F,NA,2020,NA,SW657,A
SW790,6882,2021-07-23,0.0564,CN,0.52,876.49,876.49,2018-06-08,2018,NA,NA,0,344,major,1,1,3.1,69,Y,F,0,NA,NA,major_2021,0.23026315789473684,0.093585459,2,25930.977281553398,-25054.487281553396,F,NA,2021,NA,SW790,B
SW1205,6909,2022-07-30,0.0596,CN,2.73,1782.42,1782.42,2017-12-12,2017,5.8,1,0,646,major,1,1,4.6,46,N,F,0,2023-10-09,0.793103448275862,major_2022,0.1821705426356589,0.080471819,2,20906.611336633665,-19124.191336633667,F,2023-10-09,2022,1.2,SW1205,C
SW1270,6191,2023-01-27,NA,CN,11.18,17975.75,17975.75,2014-07-23,2014,NA,2,0,715,minor,1,1,8.5,59,NA,F,0,NA,NA,minor_2023,0.14285714285714285,0.152350041,2,65707.54004901962,-47731.79004901962,F,NA,2023,NA,SW1270,E
SW1281,6158,2023-02-02,NA,CN,NA,NA,24262.410000000003,2014-03-02,2014,9.6,1,1,532,minor,1,1,8.9,53,NA,F,1,2023-10-09,0.9270833333333334,minor_2023,0.14285714285714285,0.129053339,2,65707.54004901962,-41445.130049019615,F,2023-10-09,2023,0.7,SW1281,E
SW1284,6745,2023-02-03,NA,CN,6.75,20386.24,20386.24,2017-06-19,2017,NA,NA,1,340,minor,1,1,5.6,52,NA,F,0,NA,NA,minor_2023,0.14285714285714285,0.171080147,2,65707.54004901962,-45321.300049019614,F,NA,2023,NA,SW1284,C
SW1295,5901,2023-02-14,NA,CN,9.26,17398.19,17398.19,2012-06-05,2012,10.8,7,0,210,minor,1,0,10.7,41,NA,F,1,2023-03-27,0.9907407407407406,minor_2023,0.14285714285714285,0.159303953,2,65707.54004901962,-48309.35004901962,F,2023-03-27,2023,0.1,SW1295,F
SW1307,6882,2023-02-20,NA,CN,39.03,60267.23,60267.23,2018-06-08,2018,NA,NA,0,570,minor,1,1,4.7,35,NA,F,0,NA,NA,minor_2023,0.14285714285714285,0.093585459,2,65707.54004901962,-5440.310049019616,F,NA,2023,NA,SW1307,C
SW1309,6925,2023-02-21,NA,CN,47.33,91155.04,91155.04,2017-12-03,2017,NA,NA,0,260,minor,1,1,5.2,34,NA,F,0,NA,NA,minor_2023,0.14285714285714285,0.088934825,2,65707.54004901962,25447.499950980375,F,NA,2023,NA,SW1309,C
SW1312,6144,2023-02-26,NA,CN,7.02,16671.97,16671.97,2014-02-21,2014,NA,4,1,361,minor,1,1,9,29,NA,F,0,NA,NA,minor_2023,0.14285714285714285,0.058430542,2,65707.54004901962,-49035.57004901962,F,NA,2023,NA,SW1312,E
SW1315,6249,2023-03-03,NA,CN,133.2,246959.5,246959.5,2014-07-29,2014,NA,1,1,179,minor,1,1,8.6,24,NA,F,0,NA,NA,minor_2023,0.14285714285714285,0.088747505,2,65707.54004901962,181251.95995098038,F,NA,2023,NA,SW1315,E
SW1316,6766,2023-03-03,NA,CN,13.23,21430.23,21430.23,2017-07-02,2017,5.7,NA,0,694,minor,1,0,5.7,24,NA,F,1,2023-03-27,1,minor_2023,0.14285714285714285,0.14521101,2,65707.54004901962,-44277.31004901962,F,2023-03-27,2023,0.1,SW1316,C
SW1318,6375,2023-03-04,NA,CN,13.93,32038.69,32038.69,2014-12-23,2014,NA,2,1,603,minor,1,1,8.2,23,NA,F,0,NA,NA,minor_2023,0.14285714285714285,0.12137636,2,65707.54004901962,-33668.85004901962,F,NA,2023,NA,SW1318,E
SW1321,6574,2023-03-10,NA,CN,2.99,9411,9411,2015-10-19,2015,NA,1,1,625,minor,1,1,7.4,17,NA,F,0,NA,NA,minor_2023,0.14285714285714285,0.119513247,2,65707.54004901962,-56296.54004901962,F,NA,2023,NA,SW1321,D
SW1372,6870,2023-06-27,NA,CN,3.68,12263.4,12263.4,2018-02-15,2018,5.6,NA,1,244,major,1,1,5.4,104,NA,F,1,2023-10-09,0.9642857142857144,major_2023,NA,0.152254732,2,29861.58901098901,-17598.18901098901,F,2023-10-09,2023,0.3,SW1372,C
SW1391,6738,2023-07-17,NA,CN,12.11,38158.91,38158.91,2017-06-23,2017,NA,NA,0,117,major,1,1,6.1,84,NA,F,0,NA,NA,major_2023,NA,NA,2,29861.58901098901,8297.320989010994,F,NA,2023,NA,SW1391,D
SW1402,7144,2023-07-21,NA,CN,5.12,16979.17,16979.17,2019-06-02,2019,4.4,NA,1,195,major,1,1,4.1,80,NA,F,1,2023-10-09,0.9318181818181817,major_2023,NA,0.042463214,2,29861.58901098901,-12882.419010989011,F,2023-10-09,2023,0.2,SW1402,C
SW1414,5850,2023-07-27,NA,CN,6.02,25072.59,25072.59,2012-01-28,2012,NA,NA,1,130,major,1,1,11.5,74,NA,F,0,NA,NA,major_2023,NA,0.115330636,2,29861.58901098901,-4788.99901098901,F,NA,2023,NA,SW1414,F
SW1417,5779,2023-07-31,NA,CN,3.27,11614.4,11614.4,2011-02-08,2011,NA,4,1,687,major,1,1,12.5,70,NA,F,0,NA,NA,major_2023,NA,0.134887366,2,29861.58901098901,-18247.18901098901,F,NA,2023,NA,SW1417,G
SW1421,NA,2023-08-31,NA,CN,NA,NA,NA,NA,NA,NA,10224,NA,360,major,1,NA,NA,39,NA,C,0,NA,NA,major_2023,NA,NA,2,NA,NA,C,NA,2023,NA,SW1421,NA
SW1424,6921,2023-08-03,NA,CN,10.34,22389.23,22389.23,2018-07-11,2018,NA,NA,1,240,major,1,1,5.1,67,NA,F,0,NA,NA,major_2023,NA,0.146927494,2,29861.58901098901,-7472.35901098901,F,NA,2023,NA,SW1424,C
SW1442,6572,2023-08-16,NA,CN,17.69,43762.32,43762.32,2015-10-14,2015,NA,1,1,225,major,1,1,7.8,54,NA,F,0,NA,NA,major_2023,NA,0.1259063,2,29861.58901098901,13900.73098901099,F,NA,2023,NA,SW1442,D
SW1443,6211,2023-08-15,NA,CN,13.69,43562.18,43562.18,2014-05-11,2014,NA,3,0,360,major,1,1,9.3,55,NA,F,0,NA,NA,major_2023,NA,0.06580473,2,29861.58901098901,13700.59098901099,F,NA,2023,NA,SW1443,E
SW1457,6914,2023-08-28,NA,CN,16.38,85438.97,85438.97,2018-06-15,2018,NA,NA,1,360,major,1,1,5.2,42,NA,F,0,NA,NA,major_2023,NA,0.134451143,2,29861.58901098901,55577.38098901099,F,NA,2023,NA,SW1457,C
SW1458,6707,2023-08-28,NA,CN,16.38,85438.97,85438.97,2016-10-09,2016,7,NA,0,99,major,1,1,6.9,42,NA,F,1,2023-10-09,0.9857142857142858,major_2023,NA,0.158242721,2,29861.58901098901,55577.38098901099,F,2023-10-09,2023,0.1,SW1458,D
SW1463,6892,2023-08-31,NA,CN,11.05,52540.14,52540.14,2018-04-09,2018,NA,1,1,314,major,1,1,5.4,39,NA,F,0,NA,NA,major_2023,NA,0.106981911,2,29861.58901098901,22678.55098901099,F,NA,2023,NA,SW1463,C
SW1465,7071,2023-08-30,NA,CN,9.96,24811.62,24811.62,2018-09-15,2018,NA,NA,1,301,major,1,1,5,40,NA,F,0,NA,NA,major_2023,NA,0.105773132,2,29861.58901098901,-5049.969010989011,F,NA,2023,NA,SW1465,C
SW1468,6875,2023-09-07,NA,CN,15.82,51618.69,51618.69,2017-10-24,2017,NA,NA,0,112,major,1,1,5.9,32,NA,F,0,NA,NA,major_2023,NA,0.137304006,2,29861.58901098901,21757.100989010993,F,NA,2023,NA,SW1468,C
SW131,6788,2017-09-12,0.0248,CN,6.32,32175.18,32175.18,2016-12-12,2016,4.8,NA,1,677,major,1,1,0.8,8,Y,F,0,2021-09-30,0.16666666666666669,major_2017,0.09003215434083602,0.115918072,2,57447.427596153844,-25272.247596153844,F,2021-09-30,2017,4.1,SW131,A
SW195,6693,2018-07-17,0.167,CN,3.83,9602.27,9602.27,2016-09-28,2016,3.5,1,0,255,major,1,1,1.8,67,Y,F,0,2020-03-16,0.5142857142857143,major_2018,0.10497237569060773,0.165107738,2,10992.481296296297,-1390.2112962962965,F,2020-03-16,2018,1.7,SW195,A
SW204,6739,2018-07-17,0.0552,CN,4.06,7317.6,7317.6,2017-07-29,2017,5.1,NA,1,255,major,1,1,1,67,N,F,0,2022-09-14,0.19607843137254904,major_2018,0.10497237569060773,0.126127161,2,10992.481296296297,-3674.8812962962966,F,2022-09-14,2018,4.2,SW204,A
SW222,6708,2018-07-25,0.0564,CN,18.16,30405.1,30405.1,2016-10-15,2016,2.4,1,1,254,major,1,1,1.8,59,Y,F,1,2019-03-09,0.75,major_2018,0.10497237569060773,0.11671537,2,10992.481296296297,19412.6187037037,F,2019-03-09,2018,0.6,SW222,A
SW235,6556,2018-08-04,0.266,CN,3.5,8004.97,8004.97,2015-05-12,2015,3.4,2,1,310,major,1,0,3.2,49,N,F,1,2018-09-30,0.9411764705882354,major_2018,0.10497237569060773,0.135261272,2,10992.481296296297,-2987.5112962962967,F,2018-09-30,2018,0.2,SW235,B
SW270,6032,2018-08-27,0.072,CN,2.31,7201.9,7201.9,2012-12-15,2012,5.8,1,1,348,major,1,0,5.7,26,N,F,1,2018-09-30,0.9827586206896552,major_2018,0.10497237569060773,0.12118116,2,10992.481296296297,-3790.5812962962973,F,2018-09-30,2018,0.1,SW270,C
SW284,6732,2018-08-31,0.564,CN,6.02,17438.84,17438.84,2017-02-11,2017,2.1,NA,1,322,major,1,1,1.5,22,Y,f,1,2019-03-09,0.7142857142857143,major_2018,0.10497237569060773,0.08977318,2,10992.481296296297,6446.358703703703,F,2019-03-09,2018,0.5,SW284,A
SW323,5549,2018-09-10,0.0768,CN,5.55,17837.56,17837.56,2009-12-17,2009,9.2,9,0,214,major,1,1,8.7,12,N,F,1,2019-03-09,0.9456521739130435,major_2018,0.10497237569060773,0.100889449,2,10992.481296296297,6845.078703703704,F,2019-03-09,2018,0.5,SW323,E
SW336,6747,2018-09-13,0.168,CN,2.39,5894.06,5894.06,2017-03-31,2017,1.5,1,1,156,major,1,0,1.5,9,Y,F,1,2018-09-30,1,major_2018,0.10497237569060773,0.156423596,2,10992.481296296297,-5098.4212962962965,F,2018-09-30,2018,0,SW336,A
SW347,6694,2018-09-17,0.32,CN,4.23,10233.73,10233.73,2016-09-29,2016,2,1,1,203,major,1,0,2,5,Y,F,1,2018-09-30,1,major_2018,0.10497237569060773,0.148674219,2,10992.481296296297,-758.7512962962974,F,2018-09-30,2018,0,SW347,A
SW377,6732,2019-01-29,0.29,CN,2.96,9215.97,9215.97,2017-02-11,2017,2.1,NA,1,630,minor,1,0,2,39,Y,F,1,2019-03-09,0.9523809523809523,minor_2019,0.18926553672316385,0.08977318,2,9925.820545454546,-709.8505454545466,F,2019-03-09,2019,0.1,SW377,A
SW379,6708,2019-01-30,0.0792,CN,12.44,20817.63,20817.63,2016-10-15,2016,2.4,1,1,155,minor,1,0,2.3,38,N,F,1,2019-03-09,0.9583333333333333,minor_2019,0.18926553672316385,0.11671537,2,9925.820545454546,10891.809454545455,F,2019-03-09,2019,0.1,SW379,B
SW388,6782,2019-02-02,0.109,CN,4.28,10633.01,10633.01,2017-08-27,2017,1.5,NA,1,150,minor,1,0,1.4,35,Y,F,1,2019-03-09,0.9333333333333332,minor_2019,0.18926553672316385,0.154661291,2,9925.820545454546,707.1894545454543,F,2019-03-09,2019,0.1,SW388,A
SW398,7084,2019-02-04,0.197,CN,0.96,2298.47,2298.47,2018-05-06,2018,1.9,NA,1,585,minor,1,1,0.8,33,Y,F,0,2020-03-16,0.4210526315789474,minor_2019,0.18926553672316385,0.097169638,2,9925.820545454546,-7627.350545454547,F,2020-03-16,2019,1.1,SW398,A
SW404,6781,2019-02-06,0.106,CN,2.89,8986.54,8986.54,2017-07-15,2017,1.6,NA,1,360,minor,1,0,1.6,31,Y,F,1,2019-03-09,1,minor_2019,0.18926553672316385,0.110168356,2,9925.820545454546,-939.2805454545451,F,2019-03-09,2019,0.1,SW404,A
SW438,6831,2019-02-22,0.052,CN,5.05,11256.24,11256.24,2017-09-26,2017,4,1,1,180,minor,1,1,1.4,15,Y,F,0,2021-09-30,0.35,minor_2019,0.18926553672316385,0.130054086,2,9925.820545454546,1330.4194545454538,F,2021-09-30,2019,2.6,SW438,A
SW441,6697,2019-02-25,0.48,CN,7.48,12678.03,12678.03,2016-09-27,2016,2.4,NA,1,565,minor,1,0,2.4,12,N,F,1,2019-03-09,1,minor_2019,0.18926553672316385,0.098429736,2,9925.820545454546,2752.2094545454547,F,2019-03-09,2019,0,SW441,B
SW457,5822,2019-03-05,0.166,CN,5.61,10230.53,10230.53,2012-05-02,2012,6.9,9,1,580,minor,1,0,6.8,4,Y,F,1,2019-03-09,0.9855072463768115,minor_2019,0.18926553672316385,0.121390107,2,9925.820545454546,304.7094545454547,F,2019-03-09,2019,0,SW457,D
SW564,6920,2019-07-20,0.203,CN,12.87,23689.64,23689.64,2018-07-18,2018,4.2,1,0,315,major,1,1,1,65,N,F,0,2022-09-14,0.23809523809523808,major_2019,0.11333333333333333,0.077402036,2,25071.265887850466,-1381.6258878504668,F,2022-09-14,2019,3.2,SW564,A
SW583,7115,2020-02-10,0.178,CN,NA,NA,38556.15,2019-05-12,2019,3.9,NA,1,615,minor,1,1,0.8,35,Y,F,0,2023-03-27,0.20512820512820515,minor_2020,NA,0.068560635,2,34142.66416666667,4413.485833333332,F,2023-03-27,2020,3.1,SW583,A
SW596,6886,2020-02-12,0.202,CN,NA,NA,41830.59,2018-08-06,2018,1.6,NA,1,350,minor,1,0,1.5,33,Y,F,1,2020-03-16,0.9375,minor_2020,NA,0.104042903,2,34142.66416666667,7687.925833333327,F,2020-03-16,2020,0.1,SW596,A
SW629,7127,2020-02-24,0.256,CN,NA,NA,41211.525,2019-05-26,2019,3.3,NA,0,625,minor,1,1,0.8,21,Y,F,0,2022-09-14,0.24242424242424246,minor_2020,NA,NA,2,34142.66416666667,7068.860833333332,F,2022-09-14,2020,2.6,SW629,A
SW633,6868,2020-02-25,0.048,CN,NA,NA,39577.65,2018-02-16,2018,4.6,NA,1,365,minor,1,1,2,20,Y,F,0,2022-09-14,0.4347826086956522,minor_2020,NA,0.076944002,2,34142.66416666667,5434.985833333332,F,2022-09-14,2020,2.6,SW633,A
SW639,6766,2020-02-27,0.0848,CN,NA,NA,17115.735,2017-07-02,2017,5.7,NA,0,650,minor,1,1,2.7,18,N,F,0,2023-03-27,0.4736842105263158,minor_2020,NA,0.14521101,2,34142.66416666667,-17026.92916666667,F,2023-03-27,2020,3.1,SW639,B
SW646,6693,2020-03-02,0.0296,CN,NA,NA,31122.56,2016-09-28,2016,3.5,1,0,485,minor,1,0,3.4,14,Y,F,1,2020-03-16,0.9714285714285714,minor_2020,NA,0.165107738,2,34142.66416666667,-3020.104166666668,F,2020-03-16,2020,0,SW646,B
SW658,7084,2020-03-06,0.0856,CN,NA,NA,24863.07,2018-05-06,2018,1.9,NA,1,640,minor,1,0,1.8,10,Y,F,1,2020-03-16,0.9473684210526316,minor_2020,NA,0.097169638,2,34142.66416666667,-9279.59416666667,F,2020-03-16,2020,0,SW658,A
SW780,6788,2021-07-23,0.062,CN,4.06,19204.97,19204.97,2016-12-12,2016,4.8,NA,1,254,major,1,0,4.6,69,N,F,1,2021-09-30,0.9583333333333333,major_2021,0.23026315789473684,0.115918072,2,25930.977281553398,-6726.007281553397,F,2021-09-30,2021,0.2,SW780,C
SW812,7069,2021-08-05,0.148,CN,0.52,876.49,876.49,2018-09-10,2018,3.1,NA,1,305,major,1,0,2.9,56,Y,F,1,2021-09-30,0.9354838709677419,major_2021,0.23026315789473684,0.08521813,2,25930.977281553398,-25054.487281553396,F,2021-09-30,2021,0.2,SW812,B
SW866,6831,2021-08-28,0.0568,CN,8.48,16000.08,16000.08,2017-09-26,2017,4,1,1,348,major,1,0,3.9,33,N,F,1,2021-09-30,0.975,major_2021,0.23026315789473684,0.130054086,2,25930.977281553398,-9930.897281553398,F,2021-09-30,2021,0.1,SW866,B
SW986,6868,2022-01-24,0.108,CN,13.15,26594.4,26594.4,2018-02-16,2018,4.6,NA,1,343,minor,1,1,3.9,53,Y,F,1,2022-09-14,0.8478260869565218,minor_2022,0.13533834586466165,0.076944002,2,35016.47289719626,-8422.07289719626,F,2022-09-14,2022,0.6,SW986,B
SW1038,6739,2022-02-17,0.0528,CN,3.84,5684.63,5684.63,2017-07-29,2017,5.1,NA,1,193,minor,1,1,4.6,29,N,F,1,2022-09-14,0.9019607843137255,minor_2022,0.13533834586466165,0.126127161,2,35016.47289719626,-29331.84289719626,F,2022-09-14,2022,0.6,SW1038,C
SW1068,6558,2022-03-05,0.0672,CN,48.63,65994.29,65994.29,2015-10-15,2015,6.4,NA,0,556,minor,1,0,6.4,13,N,F,1,2022-03-18,1,minor_2022,0.13533834586466165,0.025808468,2,35016.47289719626,30977.817102803732,F,2022-03-18,2022,0,SW1068,D
SW1166,6159,2022-07-07,0.0508,CN,3.46,8395.66,8395.66,2014-03-02,2014,8.5,3,0,353,major,1,0,8.3,69,N,F,1,2022-09-14,0.9764705882352942,major_2022,0.1821705426356589,0.068040924,2,20906.611336633665,-12510.951336633665,F,2022-09-14,2022,0.2,SW1166,E
SW1174,6671,2022-07-09,0.102,CN,8.17,19794.31,19794.31,2016-05-03,2016,6.4,NA,1,397,major,1,0,6.2,67,N,F,1,2022-09-14,0.96875,major_2022,0.1821705426356589,0.083305712,2,20906.611336633665,-1112.3013366336636,F,2022-09-14,2022,0.2,SW1174,D
SW1214,7127,2022-08-05,0.0748,CN,11.37,28672.71,28672.71,2019-05-26,2019,3.3,NA,0,282,major,1,0,3.2,40,N,F,1,2022-09-14,0.9696969696969698,major_2022,0.1821705426356589,NA,2,20906.611336633665,7766.098663366334,F,2022-09-14,2022,0.1,SW1214,B
SW1226,6920,2022-08-09,0.0512,CN,7.03,9066.46,9066.46,2018-07-18,2018,4.2,1,0,645,major,1,0,4.1,36,N,F,1,2022-09-14,0.976190476190476,major_2022,0.1821705426356589,0.077402036,2,20906.611336633665,-11840.151336633666,F,2022-09-14,2022,0.1,SW1226,C
SW1258,6754,2022-08-30,0.0536,CN,2.73,4209.97,4209.97,2017-06-27,2017,5.2,NA,0,249,major,1,0,5.2,15,Y,F,1,2022-09-14,1,major_2022,0.1821705426356589,0.092488486,2,20906.611336633665,-16696.641336633664,F,2022-09-14,2022,0,SW1258,C
SW160,6217,2018-03-03,0.0512,CN,14.08,31393.52,31393.52,2014-05-14,2014,7.8,1,0,344,minor,1,1,3.8,11,Y,F,0,2022-03-18,0.48717948717948717,minor_2018,0.05825242718446602,0.138786799,2,41565.9888425926,-10172.468842592596,F,2022-03-18,2018,4,SW160,B
SW697,5829,2021-05-07,0.078,CN,21.55,51051.77,51051.77,2012-04-13,2012,9.5,2,1,660,minor,1,1,9.1,39,N,F,1,2021-09-30,0.9578947368421052,minor_2021,NA,0.184890827,2,41771.6270754717,9280.1429245283,F,2021-09-30,2021,0.4,SW697,E
SW724,6029,2021-06-10,0.0588,CN,6.68,14474.24,14474.24,2012-12-07,2012,9.8,3,1,497,major,1,1,8.5,5,N,F,0,2022-09-14,0.8673469387755102,major_2021,NA,0.063405228,2,41771.6270754717,-27297.3870754717,F,2022-09-14,2021,1.3,SW724,E
SW1078,4885,2022-03-11,0.026,CN,14.02,37831.31,37831.31,2006-08-05,2006,15.6,1,0,600,minor,1,0,15.6,7,Y,F,1,2022-03-18,1,minor_2022,0.13533834586466165,0.130192468,2,35016.47289719626,2814.8371028037363,F,2022-03-18,2022,0,SW1078,G
SWzymo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,minor,1,NA,NA,NA,NA,NA,0,NA,NA,minor_NA,NA,NA,2,NA,NA,C,NA,NA,NA,SWzymo,NA
